frequency,time,days,stationName,language,itu,txLocation,coordinates,power,azimuth,remarks
612,0420-1520,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Qasr-e Shirin,342654N0453658E,600,,IRIB b24
621,0000-2400,1234567,NHK 1 Asahikawa,Japanese,J,Asahikawa,434547N1422452E,3,,JOCG
621,0000-2400,1234567,NHK 1 Iida,Japanese,J,Nagano-Iida,352952N1375056E,1,,
621,0000-2400,1234567,NHK 1 Nobeoka,Japanese,J,Miyazaki-Nobeoka,323423N1314116E,1,,
621,1300-1400,1234567,RADIO MASHAAL,Pashto,TJK,Orzu,373224N0684734E,250,ND,RFE/AGM b24
621,1600-1700,1234567,RADIO MASHAAL,Pashto,TJK,Orzu,373224N0684734E,250,ND,RFE/AGM b24
621,1800-1900,1234567,RADIO MASHAAL,Pashto,TJK,Orzu,373224N0684734E,250,ND,RFE/AGM b24
621,2300-0100,1234567,RADIO MASHAAL,Pashto,TJK,Orzu,373224N0684734E,250,ND,RFE/AGM b24
621,0100-0200,1234567,VOA DEEWA RADIO,Pashto,TJK,Orzu,373224N0684734E,250,ND,VOA/AGM Deewa R a24
621,1400-1600,1234567,VOA DEEWA RADIO,Pashto,TJK,Orzu,373224N0684734E,250,ND,VOA/AGM Deewa R a24
621,1700-1800,1234567,VOA DEEWA RADIO,Pashto,TJK,Orzu,373224N0684734E,250,ND,VOA/AGM Deewa R a24
621,1900-2200,1234567,VOA DEEWA RADIO,Pashto,TJK,Orzu,373224N0684734E,250,ND,VOA/AGM Deewa R a24
621,0700-1250,1234567,Voice of Korea,Japanese,KRE,Chongjin-Nanam,414533N1294222E,500,,VOK a25
621,2100-2350,1234567,Voice of Korea,Japanese,KRE,Chongjin-Nanam,414533N1294222E,500,ND,VOK a25
621,2000-2100,1234567,Voice of Korea (KCBS),Korean,KRE,Chongjin-Nanam,414533N1294222E,500,ND,VOK a25
630,0000-2000,1234567,Radio Timisoara,Romanian,ROU,Ortisoara,455802N0211255E,400,,SRR
630,0000-2400,1234567,RTV.TUNISIA,Arabic,TUN,Tunis-Djedeida,365012N0095546E,600,,RTT
630,0350-2000,1234567,SRR Antena Satelor,Romanian,ROU,Voine?ti ,450327N0251549E,50,,SRR
639,0300-2300,1234567,Cesky rozhlas 2,Czech,CZE,Liblice,500345N0145312E,750,,Cesky Rozhlas
639,0130-0200,1234567,Myanmar Thazin Radio,English,MMR,Naypyidaw,220059N0963253E,400,356,MRMS
639,0430-0700,1234567,Myanmar Thazin Radio,English,MMR,Naypyidaw,220059N0963253E,400,356,MRMS
639,0930-1500,1234567,Myanmar Thazin Radio,Burmese/dialect,MMR,Naypyidaw,220059N0963253E,400,356,MRMS
639,2330-0130,1234567,Myanmar Thazin Radio,Burmese,MMR,Naypyidaw,220059N0963253E,400,356,MRMS
639,0000-2400,1234567,NHK 1 Oita,Japanese,J,Oita,331453N1313430E,5,,JOIP
639,2100-1540,1234567,NHK 2 Shizuoka,Japanese,J,Shizuoka,345701N1382505E,10,,JOPB
639,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Mesondo Bento,430910N0082241W,300,,RNE1
639,0000-2400,1234567,STV Radio,Japanese,J,Hakodate,414950N1404445E,5,,JOWN
639,0420-0520,1234567,VO ISLAMIC REP.IRAN,Kurdish,IRN,Bonab,371824N0460245E,100,,IRIB b24
639,1320-1420,1234567,VO ISLAMIC REP.IRAN,Kurdish,IRN,Bonab,371824N0460245E,100,,IRIB b24
639,1820-1920,1234567,VO ISLAMIC REP.IRAN,Turkish,IRN,Bonab,371824N0460245E,100,,IRIB b24
640,0000-2400,1234567,KFI,English (HD Radio),USA,"Los Angeles, California",335247N1180050W,50,,More Stimulating Talk Radio
648,0000-2400,1234567,AFN Okinawa,English,J,Okinawa,261612N1274226E,10,,
648,0000-2400,1234567,NHK 1 Toyama,Japanese,J,Toyama,364324N1371401E,5,,JOIG
648,0000-2400,1234567,Radio Caroline,English,G,Orfordness,520611N0013427E,4,,
648,0000-2400,1234567,Radio Murski Val,Slovenian,SVN,Cerklje,464108N0161026E,10,,
657,0000-2400,1234567,South korean Jamming,Jamming,KOR,Seoul area,,,,
666,2255-1500,1234567,Haixia zhi Sheng(VO Strait),Chinese,CHN,Fuzhou/Songnancun,253241N1194826E,600,,VOS a25
666,0000-2400,1234567,IRIB Radio Fars,Persian,IRN,Shiraz Dehnow,292700N0523844E,400,,IRIB
666,0000-2400,1234567,NHK 1 Osaka,Japanese,J,Osaka,343302N1353401E,100,,JOBK
666,1555-2205,1234567,Radio Signal,Russian,LTU,Kaunas/Sitk?nai,550233N0234833E,25,,a24
675,0000-2400,1234567,NHK 1 Hakodate,Japanese,J,Hakodate,414843N1404518E,5,,JOVK
675,0000-2400,1234567,NHK 1 Yamaguchi,Japanese,J,Yamaguchi-Hofu,340150N1313038E,5,,JOUG
675,0000-2400,1234567,Qtar RTC,Arabic,QAT,Al-Arish,252405N0512835E,600,,QMC
684,1030-1130,1234567,CHINA RADIO INTERNATIONAL,Khmer,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,1200-1300,1234567,CHINA RADIO INTERNATIONAL,English,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,1300-1400,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,1400-1500,1234567,CHINA RADIO INTERNATIONAL,Khmer,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,1500-1700,1234567,CHINA RADIO INTERNATIONAL,Vietnamese,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,2300-0100,1234567,CHINA RADIO INTERNATIONAL,Khmer,CHN,Dongfang Hainan 871,185333N1083920E,600,,CRI a25
684,0000-2400,1234567,CNR 1 Voice of China,Chinese,CHN,Huadu-Guangdong 522,232430N1131410E,50,ND,CNR1
684,2155-1605,1234567,CNR 6,Chinese,CHN,Putian Fujian 824,252753N1190958E,1200,,CNR6
684,2155-1605,1234567,CNR 6,Chinese,CHN,Putian Fujian 824,252733N1190936E,1200,,CNR6
684,0000-2400,1234567,IBC Iwate Hoso,Japanese,J,Iwaizumi,395043N1414633E,0.1,,
684,0000-2400,1234567,IBC Iwate Hoso,Japanese,J,Kuji,401236N1414412E,0.1,,
684,0000-2400,1234567,IBC Iwate Hoso,Japanese,J,Morioka,393643N1410739E,5,,
684,0000-2400,1234567,IBC Iwate Hoso,Japanese,J,Ofunato,390229N1414420E,1,,JOLO
684,0000-2400,1234567,NHK 1 Nagasaki,Japanese,J,Nagasaki,324314N1295302E,5,,JODF
684,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Sevilla/Los Palacios,371235N0055533W,600,,RNE1
693,0000-2400,1234567,4KQ Classic Hits,English,AUS,Brisbane/St. Helena Island,272247S1531402E,10,,4KQ
693,0000-2400,1234567,BBC Radio 5 Live,English,G,Start Point,501342N0033950W,80,,BBCR5
693,0000-2400,1234567,BBC Radio 5 Live,English,G,Droitwich,521740N0020620W,150,,BBCR5
693,0000-2400,1234567,IRIB Radio Khalij-e Fars,Persian,IRN,"	Bandar-e Lengeh",263104N0543731E,100,ND,IRIB
693,2100-1540,1234567,NHK 2 Tokyo,Japanese,J,Saitama-Kuki,360415N1393729E,300,,JOAB
693,0030-0610,1234567,R.BANGLADESH BETAR,Bengali,BGD,Dhamrai,235421N0901157E,1000,ND,BANGL
693,0830-1730,1234567,R.BANGLADESH BETAR,Bengali,BGD,Dhamrai,235421N0901157E,1000,ND,BANGL
693,2100-1700,1234567,Voice of Vietnam 1,Vietnamese,VTN,"Mekong-Delta, Cantho",123837N1080108E,200,,VOV1
702,0015-0430,1234567,ALL INDIA RADIO,Urdu,IND,Jalandhar,310900N0754647E,200,,AIR
702,0800-1930,1234567,ALL INDIA RADIO,Punjabi/Urdu,IND,Jalandhar,310900N0754647E,200,,AIR
702,2100-1540,1234567,NHK 2 Hiroshima,Japanese,J,Hiroshima,342609N1322812E,10,,JOFB
702,2100-1540,1234567,NHK 2 Kitami,Japanese,J,Kitami,435722N1441322E,10,,JOKD
702,1700-0500,1234567,SRo 3 Radio Devin,Slovak,SVK,Cizatice,484802N0212353E,5,,SRO
702,0050-0530,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
702,0520-0920,1234567,VO ISLAMIC REP.IRAN,Turkish,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
702,0920-1020,1234567,VO ISLAMIC REP.IRAN,Talysh,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
702,1420-1650,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
702,1720-1820,1234567,VO ISLAMIC REP.IRAN,Talysh,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
702,1820-1920,1234567,VO ISLAMIC REP.IRAN,Turkish,IRN,Kiashahr,372436N0500044E,500,,IRIB b24
711,0000-2400,1234567,KBS 1,Korean,KOR,Incheon,372434N1264732E,500,,HLKA
711,0000-2400,1234567,Radio Romania Actualitati,Romanian,ROU,Sighet Maramuresh,475238N0235635E,50,,SRR
720,0000-2400,1234567,Chubu Nippon Hoso (CBC),Japanese,J,Mie-Kumano,335225N1360455E,0.1,,
720,0000-2400,1234567,Gifu Radio (GBS),Japanese,J,Takayama,360923N1371522E,0.1,,JOZO
720,0000-2400,1234567,Gifu Radio (GBS),Japanese,J,Kamioka,361930N1371756E,0.1,,
720,0000-2400,1234567,KBC Radio,Japanese,J,Kitakyushu,335624N1304805E,1,,JOIL
720,0000-2400,1234567,Radio Romania Actualitati,Romanian,ROU,Baia Mare/Nufolor/Sinai,450900N0285528E,14,,SRR
720,0050-0220,1234567,VO ISLAMIC REP.IRAN,Tajik,IRN,Taybad,344419N0604749E,400,,IRIB b24
720,0050-0520,1234567,VO ISLAMIC REP.IRAN,Azeri,IRN,Taybad,344419N0604749E,400,,IRIB b24
720,0220-1520,1234567,VO ISLAMIC REP.IRAN,Dari,IRN,Taybad,344419N0604749E,400,,IRIB b24
720,1520-1720,1234567,VO ISLAMIC REP.IRAN,Tajik,IRN,Taybad,344419N0604749E,400,,IRIB b24
720,2200-1500,1234567,Voice of Vietnam P,Vietnamese,VTN,Ho Chi Minh,105049N1063733E,10,,VOVP
729,0000-2400,1234567,ERA Net,Greek,GRC,Athinai,380901N0235138E,100,,ERA
729,2000-1730,1234567,"Jiangxi PBS, News Service",Chinese,CHN,Nanchang 561,283654N1160310E,200,,PBS
729,0000-2400,1234567,NHK 1 Nagoya,Japanese,J,Nagoya,350226N1364655E,50,,JOCK
729,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Asturias,432311N0055110W,100,,RNE1
738,0000-2400,1234567,"IRIB Regional service ""Radio Bu",Persian,IRN,Bandar Dayyer,275038N0515540E,50,,IRIB
738,0000-2400,1234567,"Jilin PBS, News and General Serv",Chinese,CHN,"Nanguan, Changchun, Jili",434524N1252416E,150,ND,PBS
738,0000-2400,1234567,Kita Nihon Hoso (KNB),Japanese,J,ToyamaTakaoka,364658N1370225E,1,,KNB
738,0000-2400,1234567,Kita Nihon Hoso (KNB),Japanese,J,Toyama,364314N1371452E,5,,JOLR
738,2300-1800,1234567,PBS Xinjiang,Chinese,TKS,Kashi/XJTS635,392435N0755517E,,,XJBS
738,2300-1800,1234567,PBS Xinjiang,Chinese,TKS,Urumqi/Hutubi-XJTS631,440940N0865529E,120,ND,XJBS
738,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Palau de Plegamans,413333N0021121E,600,,RNE1
738,0000-2400,1234567,Ryukyu Hoso (RBC),Japanese,J,Naha-Kakazu,261110N1274205E,10,,JORR
740,0000-2400,1234567,KCBS,English (HD Radio),USA,"San Francisco, Californi",380822N1223148W,50,,All News 740
747,2100-1800,1234567,CNR 12 Voice of Reading,Chinese,CHN,Beijing 582,395308N1162347E,10,,CNR 12
747,1000-1100,1......,DZJC AWR,Ilocano,PHL,Laoag City,181127N1203635E,10,ND,MBC AWR a24
747,0000-2400,1234567,IRIB Radio Kerman,Persian,IRN,Sirjan,293649N0554817E,150,,IRIB
747,2100-1540,1234567,NHK 2 Sapporo,Japanese,J,Sapporo,430534N1413622E,500,,JOIB
747,0600-1800,1234567,Radio Emmeloord,English,HOL,Pietersbierum,531218N0052813E,0.1,,
747,1800-1600,1234567,Radio Seagull,English,HOL,Pietersbierum,531218N0052813E,0.1,,
747,0000-2400,1234567,RNE Radio 5,Spanish,E,Puert Santa Maria,280052N0153525W,10,,RNE5
756,1100-1900,1234567,AM 756,Korean,KOR,"Misan, Gyeonggi-do",380101N1265922E,100,340,NIS b21
756,0000-2400,1234567,CNR 1 Voice of China,Chinese,CHN,Huadu-Guangdong 522,232421N1131419E,50,ND,CNR1
756,2025-1805,1234567,CNR 1 Voice of China,Chinese,CHN,Harbin Heilongjiang 904,454143N1264903E,100,ND,CNR1
756,0000-2400,1234567,NHK 1 Kumamoto,Japanese,J,Kumamoto,325024N1304338E,10,,JOGK
756,0600-2200,1234567,Radio Romania Actualitati,Romanian,ROU,Lugoj/Boldur,454119N0214754E,400,,SRR
765,2055-1705,1234567,CNR 5,Chinese,CHN,Fuzhou 552,260550N1193800E,600,,CNR5
765,0230-1250,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Chabahar,252846N0603218E,1000,,IRIB b24
765,1420-1520,1234567,VO ISLAMIC REP.IRAN,Hindi,IRN,Chabahar,252846N0603218E,1000,,IRIB b24
765,1630-1930,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Chabahar,252846N0603218E,1000,,IRIB b24
765,1930-2030,1234567,VO ISLAMIC REP.IRAN,"Arabic ""Voice of Pal",IRN,Chabahar,252846N0603218E,1000,,IRIB b24
765,2030-0120,1234567,VO ISLAMIC REP.IRAN,Arabic,IRN,Chabahar,252846N0603218E,1000,,IRIB b24
765,0000-2400,1234567,Yamaguchi Hoso (KRY),Japanese,J,Shunan,340204N1314237E,5,,JOPF'24Jul.29off
765,0000-2400,1234567,Yamaguchi Hoso (KRY),Japanese,J,Yamaguchi,340750N1312634E,0.3,,JOPO'24Mar.4off
765,0000-2400,1234567,Yamaguchi Hoso (KRY),Japanese,J,Susa Tamagawa,343749N1313722E,0.3,,JOPO'24Mar.4off
765,0000-2400,1234567,Yamanashi Hoso (YBS),Japanese,J,Fujiyoshida,352945N1384839E,1,,JOJL
765,0000-2400,1234567,Yamanashi Hoso (YBS),Japanese,J,Ootsuki Uenohara,353741N1390220E,1,,
765,0000-2400,1234567,Yamanashi Hoso (YBS),Japanese,J,Kofu,354051N1383030E,5,,JOJF
774,1800-1955,1234567,National Unity Radio,Korean,KOR,Chuncheon,375625N1274321E,10,ND,HLAN/MBC b21
774,2100-1540,1234567,NHK 2 Akita,Japanese,J,Akita,395702N1395610E,500,,JOUB
774,0000-2400,1234567,RNE Radio Nacional,Spanish,E,Valencia/El Palmar,391803N0001921W,100,,RNE1
783,1230-1740,1234567,AIR Vividh Bharati/FM Rainbow,Hind/Tamil/Eng.,IND,Chennai (Madras),130829N0800737E,20,ND,AIR
783,0000-2400,1234567,COPE,Spanish,E,Barcelona,412803N0021548E,50,,EAJ39
783,2255-1500,1234567,Haixia zhi Sheng(VO Strait),Chinese,CHN,Fotan/Houxu Cun,240921N1175545E,600,,VOS a25
783,0300-0300,1234567,R. of Syrian Arab Republic,Arabic,SYR,Tartus,345034N0355421E,300,,
792,0000-2400,1234567,4RN ABC Radio National,English,AUS,Brisbane/Bald Hills,271842S1530103E,25,,4RN
792,0000-2400,1234567,NHK 1 Enbetsu,Japanese,J,Hokkaido-Enbetsu,444251N1414739E,1,,NHK1
792,0000-2400,1234567,NHK 1 Esashi,Japanese,J,Hokkaido-Esashi,415144N1400841E,0.3,,NHK1
792,0000-2400,1234567,NHK 1 Imabari,Japanese,J,Ehime-Imabari,340258N1330025E,0.1,,NHK1
792,0000-2400,1234567,NHK 1 Iwaizumi,Japanese,J,Iwate-Iwaizumi,395043N1414633E,0.1,,NHK1
792,0000-2400,1234567,NHK 1 Naze,Japanese,J,Kagoshima-Naze,282409N1292929E,1,,NHK1
792,0000-2400,1234567,NHK 1 Ozu,Japanese,J,Ehime-Ozu,333119N1323329E,0.1,,NHK1
792,0000-2400,1234567,NHK 1 Takada,Japanese,J,Niigata-Takada,370636N1381707E,1,,NHK1
792,0000-2400,1234567,NHK 1 Takayama,Japanese,J,Takayama,360805N1371442E,1,,NHK1
792,0000-2400,1234567,NHK 1 Toujou,Japanese,J,Hiroshima-Toujou,345413N1331604E,0.1,,NHK1
792,0000-2400,1234567,Radio Dechovka,Czech,CZE,Hradec Kralove/Stezery,501358N0154435E,5,,
792,0000-2400,1234567,SBS,Korean,KOR,Goyang,373820N1264806E,50,,HLSQ
792,0000-2400,1234567,SER Radio Sevilla,Spanish,E,Sevilla,372358N0060352W,50,ND,EAJ5
801,0000-2400,1234567,Akita Hoso (ABS),Japanese,J,Akita-Kazuno,401132N1404850E,0.1,,
801,0000-2400,1234567,Chubu Nippon Hoso (CBC),Japanese,J,Mie-Owase,340352N1361148E,0.1,,
801,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Engaru,440308N1432941E,0.1,,JOQN
801,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Nemuro,431941N1453625E,0.1,,JOQS
801,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Tomakomai,423944N1413620E,0.1,,JOTN
801,0000-2400,1234567,Hokkaido Hoso (HBC),Japanese,J,Kitami,434907N1435215E,0.1,,JOQN
801,2000-1800,1234567,KCBS,Korean,KRE,Kimchaek,404105N1291210E,500,,KCBS
801,0000-2400,1234567,Radio 7000,Dutch,HOL,Beilen,,0.1,ND,
